ARMI
Asociazione Radioamatori Marinai Italiani
IK7BEF;A/737
I2MDI;A/738
IZ1NFG;739
IT9OER;740
I8YLW;741
IZ0IXN;A/742
IZ0ENB;A/743
IV3TRK;744
IK3GER;A/745
I3VAD;A/746
IK1JTQ;A/747
I3XMQ;A/748
IS0AFM;A/749
II1IGG;750
IZ6ITZ;751
IW8EFO;752
IK8ACR;753
IK8URG;A/754
IZ5RIE;A/755
IZ4HVS;A/756
EB3WH;A/757
IK2PTB;A/758
IZ7UEE;760
IS0CJV;761
IT9BNX;A/762
IT9NJE;763
IK8CQH;A/764
IZ5BSA;765
IZ8VGD;A/766
IT9UQW;767
I8IEM;768
I2MQP;769
IZ8EDJ;A/770
IT9CKA;771
IZ0BTV;A/772
IZ7FMI;773
IK8VMU;774
IK8LVZ;A/775
I7LGM;A/776
IZ7FMM;A/777
IZ7KDX;A/778
IW7EBA;A/779
IZ7HYA;780
IZ7NLZ;A/781
IZ7FLQ;782
IW9GDC;783
IT9AQO;784
HB9VAA;784
IK8OWF;A/785
IZ0PVL;A/786
IZ3VLK;787
IW5CSQ;A/788
IK8GDA;789
IK6IWM;790
IV3ZXQ;794
IW0GHW;795
IZ0TTD;A/796
IK7TAB;A/797
I1YOD;A/798
IZ1FKB;A/799
II8ICN;800
IK0ZME;801
IZ0NNI;A/802
IW6ATQ;A/803
IZ2OIF;A/804
IK6OCX;A/805
IZ0INX;A/806
IT9AZP;A/808
IZ2KLV;A/809
IK1RTP;811
IZ0TTB;A/812
IW7CRP;A/813
IZ0PAW;814
IZ1DFE;815
IZ1VWD;816
IZ8IBB;817
I5NXH;A/818
IZ5KID;820
IK6VXR;A/821
I6TIH;A/822
IZ3VEH;A/823
IZ8IQL;A/825
IZ0JGE;A/826
IW3SGT;827
IW1DG;828
IK5JWQ;829
IZ0FCV;830
IZ0ORT;A/831
IK6ARS;832
IZ8UVQ;A/833
IW0HME;A/834
IZ0DIB;A/835
IW0CGT;A/836
IZ0KBW;A/837
IT9ULN;A/839
IT9ING;840
IT9CNO;A/841
IK5YZV;A/842
IZ2QPZ;A/843
IT9CLY;A/844
IZ3SEV;845
IW4ECL;846
IZ3OCD;A/847
IZ5RKC;A/848
IZ3VDA;A/849
II2IGTO;850
II3JD;851
II2EBE;852
II1IAME;853
IK1OUK;A/855
II1ADV;900
II0IDR;950
II0SB;951
II3SB;952
II3ICZ;953
II2MM;954
II2MM;954
II0ICH;955
II9IGA;956
II0IASM;957
II7IASM;957
II1IALV;958
II1IARD;959
II7IADU;960
II0IADU;960
II2SB;961
II7IGPR;962
IA7MM;963
II3MM;964
IP1NAVY;965
II6ICA;966
II7ICE;967
II0ICV;968
II5IDK;969
II9IGB;970
II7ARMI;1000
