usa-ca
USA Counties
W;KH6;KL
02192;MA,Norfolk;-71.0892;42.18004
02193;MA,Middlesex;-71.4594;42.44639
02194;MA,Norfolk;-71.2257;42.29254
02195;MA,Middlesex;-71.4594;42.44639
02199;MA,Suffolk;-71.082343;42.347130
02201;MA,Suffolk;-70.9196;42.33894
02202;MA,Suffolk;-71.0618;42.36109
02203;MA,Suffolk;-71.0603;42.36148
02204;MA,Suffolk;-70.9196;42.33894
02205;MA,Suffolk;-71.0538;42.35033
02206;MA,Suffolk;-70.9196;42.33894
02207;MA,Suffolk;-70.9196;42.33894
02208;MA,Suffolk;-70.9196;42.33894
02209;MA,Suffolk;-70.9196;42.33894
02210;MA,Suffolk;-71.044639;42.347974
02211;MA,Suffolk;-70.9196;42.33894
02212;MA,Middlesex;-71.4594;42.44639
02215;MA,Suffolk;-71.102153;42.346997
02216;MA,Suffolk;-70.9196;42.33894
02217;MA,Suffolk;-70.9196;42.33894
02222;MA,Suffolk;-71.062829;42.367797
02238;MA,Middlesex;-71.4594;42.44639
02254;MA,Middlesex;-71.4594;42.44639
02258;MA,Middlesex;-71.4594;42.44639
02269;MA,Norfolk;-71.0892;42.18004
02272;MA,Middlesex;-71.4594;42.44639
02277;MA,Middlesex;-71.4594;42.44639
02322;MA,Norfolk;-71.045227;42.121932
02324;MA,Plymouth;-70.972156;41.979501
02327;MA,Plymouth;-70.8272;42.04070
02330;MA,Plymouth;-70.765609;41.873697
02331;MA,Plymouth;-70.7013;41.97047
02332;MA,Plymouth;-70.701053;42.031371
02333;MA,Plymouth;-70.952273;42.029083
02334;MA,Bristol;-71.1323;42.02352
02337;MA,Plymouth;-70.9315;42.02222
02338;MA,Plymouth;-70.853955;41.999851
02339;MA,Plymouth;-70.859137;42.128670
02341;MA,Plymouth;-70.862051;42.059434
02343;MA,Norfolk;-71.010375;42.148351
02345;MA,Plymouth;-70.5810;41.88819
02346;MA,Plymouth;-70.894066;41.889582
02347;MA,Plymouth;-70.959736;41.835094
02350;MA,Plymouth;-70.8474;42.01852
02351;MA,Plymouth;-70.947876;42.119534
02355;MA,Plymouth;-70.8013;41.91691
02356;MA,Bristol;-71.113099;42.058507
02358;MA,Plymouth;-70.626425;41.805219
02359;MA,Plymouth;-70.804269;42.065554
02360;MA,Plymouth;-70.619992;41.894676
02361;MA,Plymouth;-70.7013;41.97047
02362;MA,Plymouth;-70.7013;41.97047
02364;MA,Plymouth;-70.738273;41.993102
02366;MA,Plymouth;-70.660887;41.854063
02367;MA,Plymouth;-70.804521;41.968987
02368;MA,Norfolk;-71.049124;42.173417
02370;MA,Plymouth;-70.911895;42.129513
02375;MA,Bristol;-71.101917;42.029749
02379;MA,Plymouth;-71.018781;42.021950
02381;MA,Plymouth;-70.5610;41.93160
02382;MA,Plymouth;-70.937347;42.082350
02401;MA,Plymouth;-71.0345;42.07939
02402;MA,Plymouth;-70.9993;42.08630
02403;MA,Plymouth;-70.7013;41.97047
02404;MA,Plymouth;-70.7013;41.97047
02405;MA,Plymouth;-70.7013;41.97047
02532;MA,Barnstable;-70.597646;41.751841
02534;MA,Barnstable;-70.616009;41.665660
02535;MA,Dukes;-70.751458;41.345578
02536;MA,Barnstable;-70.561404;41.578992
02537;MA,Barnstable;-70.437546;41.733837
02538;MA,Plymouth;-70.648815;41.782915
02539;MA,Dukes;-70.524537;41.380479
02540;MA,Barnstable;-70.619682;41.561050
02541;MA,Barnstable;-70.3086;41.79931
02542;MA,Barnstable;-70.524563;41.665605
02543;MA,Barnstable;-70.665056;41.526791
02552;MA,Dukes;-70.6430;41.37983
02553;MA,Barnstable;-70.6080;41.67336
02554;MA,Nantucket;-70.090890;41.276758
02556;MA,Barnstable;-70.630369;41.640300
02557;MA,Dukes;-70.5600;41.41737
02558;MA,Plymouth;-70.659566;41.746424
02559;MA,Barnstable;-70.617067;41.694132
02561;MA,Barnstable;-70.5336;41.77025
02562;MA,Barnstable;-70.5195;41.79326
02563;MA,Barnstable;-70.488663;41.735645
02564;MA,Nantucket;-70.0155;41.27394
02565;MA,Barnstable;-70.3086;41.79931
02568;MA,Dukes;-70.608720;41.451263
02571;MA,Plymouth;-70.710596;41.751554
02573;MA,Dukes;-70.6430;41.37983
02574;MA,Barnstable;-70.6381;41.60394
02575;MA,Dukes;-70.663762;41.378807
02576;MA,Plymouth;-70.757839;41.776042
02584;MA,Nantucket;-70.0460;41.27779
02601;MA,Barnstable;-70.289501;41.654741
02630;MA,Barnstable;-70.295683;41.700327
02631;MA,Barnstable;-70.077732;41.746647
02632;MA,Barnstable;-70.346588;41.658718
02633;MA,Barnstable;-69.977468;41.686534
02634;MA,Barnstable;-70.3086;41.79931
02635;MA,Barnstable;-70.443171;41.625037
02636;MA,Barnstable;-70.3086;41.79931
02637;MA,Barnstable;-70.2772;41.70143
02638;MA,Barnstable;-70.191831;41.736684
02639;MA,Barnstable;-70.133481;41.661115
02641;MA,Barnstable;-70.2046;41.73471
02642;MA,Barnstable;-69.989214;41.844087
02643;MA,Barnstable;-69.9620;41.78430
02644;MA,Barnstable;-70.512116;41.683462
02645;MA,Barnstable;-70.056792;41.707332
02646;MA,Barnstable;-70.074193;41.669219
02647;MA,Barnstable;-70.304359;41.632750
02648;MA,Barnstable;-70.416803;41.667689
02649;MA,Barnstable;-70.487542;41.613743
02650;MA,Barnstable;-69.969587;41.702265
02651;MA,Barnstable;-69.9817;41.82426
02652;MA,Barnstable;-70.079382;42.028890
02653;MA,Barnstable;-69.973120;41.777647
02655;MA,Barnstable;-70.386932;41.632935
02657;MA,Barnstable;-70.189470;42.053355
02659;MA,Barnstable;-70.024952;41.678628
02660;MA,Barnstable;-70.161658;41.712338
02661;MA,Barnstable;-70.039606;41.675799
02662;MA,Barnstable;-69.9841;41.75669
02663;MA,Barnstable;-70.0767;41.80053
02664;MA,Barnstable;-70.197973;41.670981
02666;MA,Barnstable;-70.054277;41.992804
02667;MA,Barnstable;-70.014845;41.922412
02668;MA,Barnstable;-70.370482;41.706310
02669;MA,Barnstable;-69.994948;41.673635
02670;MA,Barnstable;-70.170894;41.659749
02671;MA,Barnstable;-70.111528;41.665589
02672;MA,Barnstable;-70.319627;41.636077
02673;MA,Barnstable;-70.237264;41.656883
02675;MA,Barnstable;-70.223950;41.703205
02702;MA,Bristol;-71.064465;41.792192
02703;MA,Bristol;-71.314564;41.928099
02712;MA,Bristol;-71.0670;41.75621
02713;MA,Dukes;-70.895408;41.429673
02714;MA,Bristol;-71.0670;41.75621
